team A,team B,Team A Ground,Team B Ground,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Toss_Winner,runs in pp team a,runs in pp team b
MI,CSK,home,away,668.8,612.2,563.4,646.6,0.571428571,0.640449438,0.507,0.361,696.8333333,741.55,CSK,42,47
DC,KXIP,home,away,654.8,607,650,525,0.466666667,0.432098765,-0.23,-0.26,582.0833333,629.875,KXIP,57,52
SRH,RCB,home,away,669.6,614,675.8,654,0.5,0.50617284,0.486,-0.589,734.5,701.4166667,RCB,53,47
RR,CSK,home,away,614.2,612.2,617.6,646.6,0.525,0.640449438,-0.093,0.361,649.85,741.55,RR,45,46
KKR,MI,home,away,583.4,668.8,618,563.4,0.576086957,0.571428571,0.6,0.507,668.0416667,696.8333333,MI,42,45
KXIP,RCB,home,away,607,614,525,654,0.432098765,0.50617284,-0.26,-0.589,629.875,701.4166667,RCB,47,48
CSK,DC,home,away,612.2,654.8,646.6,650,0.640449438,0.466666667,0.361,-0.23,741.55,582.0833333,CSK,44,48
KKR,SRH,home,away,583.4,669.6,618,675.8,0.576086957,0.5,0.6,0.486,668.0416667,734.5,KKR,46,49
RR,KXIP,home,away,614.2,607,617.6,525,0.525,0.432098765,-0.093,-0.26,649.85,629.875,RR,50,45
RCB,MI,home,away,614,668.8,654,563.4,0.50617284,0.571428571,-0.589,0.507,701.4166667,696.8333333,RCB,44,46
DC,SRH,home,away,654.8,669.6,650,675.8,0.466666667,0.5,-0.23,0.486,582.0833333,734.5,SRH,48,55
RR,KKR,home,away,614.2,583.4,617.6,618,0.525,0.576086957,-0.093,0.6,649.85,668.0416667,KKR,45,43
KXIP,MI,home,away,607,668.8,525,563.4,0.432098765,0.571428571,-0.26,0.507,629.875,696.8333333,MI,45,48
CSK,SRH,home,away,612.2,669.6,646.6,675.8,0.640449438,0.5,0.361,0.486,741.55,734.5,CSK,46,49
RCB,RR,home,away,614,614.2,654,617.6,0.50617284,0.525,-0.589,-0.093,701.4166667,649.85,RCB,48,38
DC,KKR,home,away,654.8,583.4,650,618,0.466666667,0.576086957,-0.23,0.6,582.0833333,668.0416667,DC,51,39
MI,SRH,home,away,668.8,669.6,563.4,675.8,0.571428571,0.5,0.507,0.486,696.8333333,734.5,SRH,41,44
KXIP,CSK,home,away,607,612.2,525,646.6,0.432098765,0.640449438,-0.26,0.361,629.875,741.55,KXIP,49,47
RCB,DC,home,away,614,654.8,654,650,0.50617284,0.466666667,-0.589,-0.23,701.4166667,582.0833333,DC,54,60
MI,RR,home,away,668.8,614.2,563.4,617.6,0.571428571,0.525,0.507,-0.093,696.8333333,649.85,MI,44,42
KKR,CSK,home,away,583.4,612.2,618,646.6,0.576086957,0.640449438,0.6,0.361,668.0416667,741.55,CSK,43,45
SRH,KXIP,home,away,669.6,607,675.8,525,0.5,0.432098765,0.486,-0.26,734.5,629.875,SRH,48,49
RR,DC,home,away,614.2,654.8,617.6,650,0.525,0.466666667,-0.093,-0.23,649.85,582.0833333,RR,41,54
KXIP,KKR,home,away,607,583.4,525,618,0.432098765,0.576086957,-0.26,0.6,629.875,668.0416667,KKR,47,52
CSK,RCB,home,away,612.2,614,646.6,654,0.640449438,0.50617284,0.361,-0.589,741.55,701.4166667,CSK,43,42
SRH,RR,home,away,669.6,614.2,675.8,617.6,0.5,0.525,0.486,-0.093,734.5,649.85,RR,46,41
MI,DC,home,away,668.8,654.8,563.4,650,0.571428571,0.466666667,0.507,-0.23,696.8333333,582.0833333,MI,53,47
RCB,KKR,home,away,614,583.4,654,618,0.50617284,0.576086957,-0.589,0.6,701.4166667,668.0416667,KKR,45,51
SRH,CSK,home,away,669.6,612.2,675.8,646.6,0.5,0.640449438,0.486,0.361,734.5,741.55,SRH,49,46
DC,RR,home,away,654.8,614.2,650,617.6,0.466666667,0.525,-0.23,-0.093,582.0833333,649.85,DC,54,41
RCB,KXIP,home,away,614,607,654,525,0.50617284,0.432098765,-0.589,-0.26,701.4166667,629.875,RCB,48,47
MI,KKR,home,away,668.8,583.4,563.4,618,0.571428571,0.576086957,0.507,0.6,696.8333333,668.0416667,MI,45,0
RR,RCB,home,away,614.2,614,617.6,654,0.525,0.50617284,-0.093,-0.589,649.85,701.4166667,RR,38,48
DC,CSK,home,away,654.8,612.2,650,646.6,0.466666667,0.640449438,-0.23,0.361,582.0833333,741.55,CSK,48,44
SRH,KKR,home,away,669.6,583.4,675.8,618,0.5,0.576086957,0.486,0.6,734.5,668.0416667,KKR,49,46
MI,KXIP,home,away,668.8,607,563.4,525,0.571428571,0.432098765,0.507,-0.26,696.8333333,629.875,MI,48,45
CSK,RR,home,away,612.2,614.2,646.6,617.6,0.640449438,0.525,0.361,-0.093,741.55,649.85,CSK,46,45
KXIP,DC,home,away,607,654.8,525,650,0.432098765,0.466666667,-0.26,-0.23,629.875,582.0833333,KXIP,52,57
KKR,RCB,home,away,583.4,614,618,654,0.576086957,0.50617284,0.6,-0.589,668.0416667,701.4166667,KKR,51,45
RR,SRH,home,away,614.2,669.6,617.6,675.8,0.525,0.5,-0.093,0.486,649.85,734.5,RR,41,46
CSK,MI,home,away,612.2,668.8,646.6,563.4,0.640449438,0.571428571,0.361,0.507,741.55,696.8333333,CSK,42,45
KKR,DC,home,away,583.4,654.8,618,650,0.576086957,0.466666667,0.6,-0.23,668.0416667,582.0833333,KKR,39,51
KXIP,SRH,home,away,607,669.6,525,675.8,0.432098765,0.5,-0.26,0.486,629.875,734.5,SRH,49,48
RCB,CSK,home,away,614,612.2,654,646.6,0.50617284,0.640449438,-0.589,0.361,701.4166667,741.55,CSK,42,43
RR,MI,home,away,614.2,668.8,617.6,563.4,0.525,0.571428571,-0.093,0.507,649.85,696.8333333,RR,42,44
KKR,KXIP,home,away,583.4,607,618,525,0.576086957,0.432098765,0.6,-0.26,668.0416667,629.875,KKR,52,47
SRH,DC,home,away,669.6,654.8,675.8,650,0.5,0.466666667,0.486,-0.23,734.5,582.0833333,SRH,55,48
MI,RCB,home,away,668.8,614,563.4,654,0.571428571,0.50617284,0.507,-0.589,696.8333333,701.4166667,RCB,46,44
CSK,KKR,home,away,612.2,583.4,646.6,618,0.640449438,0.576086957,0.361,0.6,741.55,668.0416667,KKR,45,43
KXIP,RR,home,away,607,614.2,525,617.6,0.432098765,0.525,-0.26,-0.093,629.875,649.85,RR,45,50
DC,MI,home,away,654.8,668.8,650,563.4,0.466666667,0.571428571,-0.23,0.507,582.0833333,696.8333333,MI,47,53
RCB,SRH,home,away,614,669.6,654,675.8,0.50617284,0.5,-0.589,0.486,701.4166667,734.5,SRH,47,53
CSK,KXIP,home,away,612.2,607,646.6,525,0.640449438,0.432098765,0.361,-0.26,741.55,629.875,KXIP,47,49
KKR,RR,home,away,583.4,614.2,618,617.6,0.576086957,0.525,0.6,-0.093,668.0416667,649.85,KKR,43,45
DC,RCB,home,away,654.8,614,650,654,0.466666667,0.50617284,-0.23,-0.589,582.0833333,701.4166667,DC,60,54
SRH,MI,home,away,669.6,668.8,675.8,563.4,0.5,0.571428571,0.486,0.507,734.5,696.8333333,MI,44,41
