team_A,team_B,toss_winner,top_batsmen_points_A,top_batsmen_points_B,top_baller_points_A,top_baller_points_B,match_won_after_winning_toss_A,match_won_after_winning_toss_B,runs_in_powerplay_A,runs_in_powerplay_B,run_rate_A,run_rate_B,most_value_player_points_A,most_value_player_points_B,win_ratio_A,win_ratio_B,ground_A,ground_B
4,0,1,0.9907192575406025,0.33410672853828416,0.25464190981432333,0.8063660477453585,0.571428571,0.640449438,0.18181818181818188,0.7833333333333333,0.507,0.361,0.7195861202509222,1.0000000000000004,0.61,0.39,0,0
1,3,1,0.8283062645011601,0.27378190255220414,0.8289124668435015,0.0,0.46666666700000003,0.432098765,0.8636363636363635,0.8666666666666667,-0.23,-0.26,0.0,0.2996969065009001,0.41,0.59,0,0
7,5,1,1.0,0.35498839907192625,1.0,0.8554376657824934,0.5,0.50617284,0.6818181818181819,0.7833333333333333,0.486,-0.589,0.9557901337885055,0.7483277594589626,0.57,0.43,0,0
6,0,0,0.35730858468677607,0.33410672853828416,0.614058355437666,0.8063660477453585,0.525,0.640449438,0.3181818181818181,0.7666666666666666,-0.09300000000000001,0.361,0.4249581941001348,1.0000000000000004,0.33,0.67,0,0
2,4,1,0.0,0.9907192575406025,0.6167108753315649,0.25464190981432333,0.576086957,0.571428571,0.18181818181818188,0.75,0.6,0.507,0.5390363715428443,0.7195861202509222,0.24,0.76,0,0
3,5,1,0.27378190255220414,0.35498839907192625,0.0,0.8554376657824934,0.432098765,0.50617284,0.40909090909090895,0.8,-0.26,-0.589,0.2996969065009001,0.7483277594589626,0.5,0.5,0,0
0,1,0,0.33410672853828416,0.8283062645011601,0.8063660477453585,0.8289124668435015,0.640449438,0.46666666700000003,0.2727272727272727,0.8,0.361,-0.23,1.0000000000000004,0.0,0.67,0.33,0,0
2,7,0,0.0,1.0,0.6167108753315649,1.0,0.576086957,0.5,0.36363636363636354,0.8166666666666667,0.6,0.486,0.5390363715428443,0.9557901337885055,0.59,0.41,0,0
6,3,0,0.35730858468677607,0.27378190255220414,0.614058355437666,0.0,0.525,0.432098765,0.5454545454545456,0.75,-0.09300000000000001,-0.26,0.4249581941001348,0.2996969065009001,0.43,0.47,0,0
5,4,0,0.35498839907192625,0.9907192575406025,0.8554376657824934,0.25464190981432333,0.50617284,0.571428571,0.2727272727272727,0.7666666666666666,-0.589,0.507,0.7483277594589626,0.7195861202509222,0.36,0.64,0,0
1,7,1,0.8283062645011601,1.0,0.8289124668435015,1.0,0.46666666700000003,0.5,0.45454545454545436,0.9166666666666666,-0.23,0.486,0.0,0.9557901337885055,0.33,0.67,0,0
6,2,1,0.35730858468677607,0.0,0.614058355437666,0.6167108753315649,0.525,0.576086957,0.3181818181818181,0.7166666666666667,-0.09300000000000001,0.6,0.4249581941001348,0.5390363715428443,0.5,0.5,0,0
3,4,1,0.27378190255220414,0.9907192575406025,0.0,0.25464190981432333,0.432098765,0.571428571,0.3181818181818181,0.8,-0.26,0.507,0.2996969065009001,0.7195861202509222,0.46,0.54,0,0
0,7,0,0.33410672853828416,1.0,0.8063660477453585,1.0,0.640449438,0.5,0.36363636363636354,0.8166666666666667,0.361,0.486,1.0000000000000004,0.9557901337885055,0.75,0.25,0,0
5,6,0,0.35498839907192625,0.35730858468677607,0.8554376657824934,0.614058355437666,0.50617284,0.525,0.45454545454545436,0.6333333333333333,-0.589,-0.09300000000000001,0.7483277594589626,0.4249581941001348,0.44,0.56,0,0
1,2,0,0.8283062645011601,0.0,0.8289124668435015,0.6167108753315649,0.46666666700000003,0.576086957,0.590909090909091,0.65,-0.23,0.6,0.0,0.5390363715428443,0.38,0.62,0,0
4,7,1,0.9907192575406025,1.0,0.25464190981432333,1.0,0.571428571,0.5,0.13636363636363646,0.7333333333333333,0.507,0.486,0.7195861202509222,0.9557901337885055,0.5,0.5,0,0
3,0,0,0.27378190255220414,0.33410672853828416,0.0,0.8063660477453585,0.432098765,0.640449438,0.5000000000000002,0.7833333333333333,-0.26,0.361,0.2996969065009001,1.0000000000000004,0.57,0.43,0,0
5,1,1,0.35498839907192625,0.8283062645011601,0.8554376657824934,0.8289124668435015,0.50617284,0.46666666700000003,0.7272727272727273,1.0,-0.589,-0.23,0.7483277594589626,0.0,0.7,0.3,0,0
4,6,0,0.9907192575406025,0.35730858468677607,0.25464190981432333,0.614058355437666,0.571428571,0.525,0.2727272727272727,0.7,0.507,-0.09300000000000001,0.7195861202509222,0.4249581941001348,0.5,0.5,0,0
2,0,1,0.0,0.33410672853828416,0.6167108753315649,0.8063660477453585,0.576086957,0.640449438,0.2272727272727273,0.75,0.6,0.361,0.5390363715428443,1.0000000000000004,0.35,0.65,0,0
7,3,0,1.0,0.27378190255220414,1.0,0.0,0.5,0.432098765,0.45454545454545436,0.8166666666666667,0.486,-0.26,0.9557901337885055,0.2996969065009001,0.71,0.29,0,0
6,1,0,0.35730858468677607,0.8283062645011601,0.614058355437666,0.8289124668435015,0.525,0.46666666700000003,0.13636363636363646,0.9,-0.09300000000000001,-0.23,0.4249581941001348,0.0,0.61,0.39,0,0
3,2,1,0.27378190255220414,0.0,0.0,0.6167108753315649,0.432098765,0.576086957,0.40909090909090895,0.8666666666666667,-0.26,0.6,0.2996969065009001,0.5390363715428443,0.32,0.68,0,0
0,5,0,0.33410672853828416,0.35498839907192625,0.8063660477453585,0.8554376657824934,0.640449438,0.50617284,0.2272727272727273,0.7,0.361,-0.589,1.0000000000000004,0.7483277594589626,0.65,0.35,0,0
7,6,1,1.0,0.35730858468677607,1.0,0.614058355437666,0.5,0.525,0.36363636363636354,0.6833333333333333,0.486,-0.09300000000000001,0.9557901337885055,0.4249581941001348,0.55,0.45,0,0
4,1,0,0.9907192575406025,0.8283062645011601,0.25464190981432333,0.8289124668435015,0.571428571,0.46666666700000003,0.6818181818181819,0.7833333333333333,0.507,-0.23,0.7195861202509222,0.0,0.5,0.5,0,0
5,2,1,0.35498839907192625,0.0,0.8554376657824934,0.6167108753315649,0.50617284,0.576086957,0.3181818181818181,0.85,-0.589,0.6,0.7483277594589626,0.5390363715428443,0.42,0.58,0,0
7,0,0,1.0,0.33410672853828416,1.0,0.8063660477453585,0.5,0.640449438,0.5000000000000002,0.7666666666666666,0.486,0.361,0.9557901337885055,1.0000000000000004,0.25,0.75,0,0
1,6,0,0.8283062645011601,0.35730858468677607,0.8289124668435015,0.614058355437666,0.46666666700000003,0.525,0.7272727272727273,0.6833333333333333,-0.23,-0.09300000000000001,0.0,0.4249581941001348,0.39,0.61,0,0
5,3,0,0.35498839907192625,0.27378190255220414,0.8554376657824934,0.0,0.50617284,0.432098765,0.45454545454545436,0.7833333333333333,-0.589,-0.26,0.7483277594589626,0.2996969065009001,0.5,0.5,0,0
4,2,0,0.9907192575406025,0.0,0.25464190981432333,0.6167108753315649,0.571428571,0.576086957,0.3181818181818181,0.0,0.507,0.6,0.7195861202509222,0.5390363715428443,0.76,0.24,0,0
6,5,0,0.35730858468677607,0.35498839907192625,0.614058355437666,0.8554376657824934,0.525,0.50617284,0.0,0.8,-0.09300000000000001,-0.589,0.4249581941001348,0.7483277594589626,0.56,0.44,0,0
1,0,1,0.8283062645011601,0.33410672853828416,0.8289124668435015,0.8063660477453585,0.46666666700000003,0.640449438,0.45454545454545436,0.7333333333333333,-0.23,0.361,0.0,1.0000000000000004,0.33,0.67,0,0
7,2,1,1.0,0.0,1.0,0.6167108753315649,0.5,0.576086957,0.5000000000000002,0.7666666666666666,0.486,0.6,0.9557901337885055,0.5390363715428443,0.41,0.59,0,0
4,3,0,0.9907192575406025,0.27378190255220414,0.25464190981432333,0.0,0.571428571,0.432098765,0.45454545454545436,0.75,0.507,-0.26,0.7195861202509222,0.2996969065009001,0.54,0.46,0,0
0,6,0,0.33410672853828416,0.35730858468677607,0.8063660477453585,0.614058355437666,0.640449438,0.525,0.36363636363636354,0.75,0.361,-0.09300000000000001,1.0000000000000004,0.4249581941001348,0.67,0.33,0,0
3,1,0,0.27378190255220414,0.8283062645011601,0.0,0.8289124668435015,0.432098765,0.46666666700000003,0.6363636363636365,0.95,-0.26,-0.23,0.2996969065009001,0.0,0.59,0.41,0,0
2,5,0,0.0,0.35498839907192625,0.6167108753315649,0.8554376657824934,0.576086957,0.50617284,0.590909090909091,0.75,0.6,-0.589,0.5390363715428443,0.7483277594589626,0.58,0.42,0,0
6,7,0,0.35730858468677607,1.0,0.614058355437666,1.0,0.525,0.5,0.13636363636363646,0.7666666666666666,-0.09300000000000001,0.486,0.4249581941001348,0.9557901337885055,0.45,0.55,0,0
0,4,0,0.33410672853828416,0.9907192575406025,0.8063660477453585,0.25464190981432333,0.640449438,0.571428571,0.18181818181818188,0.75,0.361,0.507,1.0000000000000004,0.7195861202509222,0.39,0.61,0,0
2,1,0,0.0,0.8283062645011601,0.6167108753315649,0.8289124668435015,0.576086957,0.46666666700000003,0.045454545454545414,0.85,0.6,-0.23,0.5390363715428443,0.0,0.62,0.38,0,0
3,7,1,0.27378190255220414,1.0,0.0,1.0,0.432098765,0.5,0.5000000000000002,0.8,-0.26,0.486,0.2996969065009001,0.9557901337885055,0.29,0.71,0,0
5,0,1,0.35498839907192625,0.33410672853828416,0.8554376657824934,0.8063660477453585,0.50617284,0.640449438,0.18181818181818188,0.7166666666666667,-0.589,0.361,0.7483277594589626,1.0000000000000004,0.35,0.65,0,0
6,4,0,0.35730858468677607,0.9907192575406025,0.614058355437666,0.25464190981432333,0.525,0.571428571,0.18181818181818188,0.7333333333333333,-0.09300000000000001,0.507,0.4249581941001348,0.7195861202509222,0.5,0.5,0,0
2,3,0,0.0,0.27378190255220414,0.6167108753315649,0.0,0.576086957,0.432098765,0.6363636363636365,0.7833333333333333,0.6,-0.26,0.5390363715428443,0.2996969065009001,0.68,0.32,0,0
7,1,0,1.0,0.8283062645011601,1.0,0.8289124668435015,0.5,0.46666666700000003,0.7727272727272727,0.8,0.486,-0.23,0.9557901337885055,0.0,0.67,0.33,0,0
4,5,1,0.9907192575406025,0.35498839907192625,0.25464190981432333,0.8554376657824934,0.571428571,0.50617284,0.36363636363636354,0.7333333333333333,0.507,-0.589,0.7195861202509222,0.7483277594589626,0.64,0.36,0,0
0,2,1,0.33410672853828416,0.0,0.8063660477453585,0.6167108753315649,0.640449438,0.576086957,0.3181818181818181,0.7166666666666667,0.361,0.6,1.0000000000000004,0.5390363715428443,0.65,0.35,0,0
3,6,1,0.27378190255220414,0.35730858468677607,0.0,0.614058355437666,0.432098765,0.525,0.3181818181818181,0.8333333333333334,-0.26,-0.09300000000000001,0.2996969065009001,0.4249581941001348,0.47,0.43,0,0
1,4,1,0.8283062645011601,0.9907192575406025,0.8289124668435015,0.25464190981432333,0.46666666700000003,0.571428571,0.40909090909090895,0.8833333333333333,-0.23,0.507,0.0,0.7195861202509222,0.5,0.5,0,0
5,7,1,0.35498839907192625,1.0,0.8554376657824934,1.0,0.50617284,0.5,0.40909090909090895,0.8833333333333333,-0.589,0.486,0.7483277594589626,0.9557901337885055,0.43,0.57,0,0
0,3,1,0.33410672853828416,0.27378190255220414,0.8063660477453585,0.0,0.640449438,0.432098765,0.40909090909090895,0.8166666666666667,0.361,-0.26,1.0000000000000004,0.2996969065009001,0.43,0.57,0,0
2,6,0,0.0,0.35730858468677607,0.6167108753315649,0.614058355437666,0.576086957,0.525,0.2272727272727273,0.75,0.6,-0.09300000000000001,0.5390363715428443,0.4249581941001348,0.5,0.5,0,0
1,5,0,0.8283062645011601,0.35498839907192625,0.8289124668435015,0.8554376657824934,0.46666666700000003,0.50617284,1.0000000000000002,0.9,-0.23,-0.589,0.0,0.7483277594589626,0.3,0.7,0,0
7,4,1,1.0,0.9907192575406025,1.0,0.25464190981432333,0.5,0.571428571,0.2727272727272727,0.6833333333333333,0.486,0.507,0.9557901337885055,0.7195861202509222,0.5,0.5,0,0
